01-03-2020,86992,
29-02-2020,86013,
28-02-2020,84124,
27-02-2020,82756,
26-02-2020,81397,
25-02-2020,80415,
24-02-2020,79570,
23-02-2020,78985,
22-02-2020,78599,
21-02-2020,77277,
20-02-2020,76199,
19-02-2020,75641,
18-02-2020,75138,
17-02-2020,73260,
16-02-2020,71226,
15-02-2020,69032,
14-02-2020,66887,
13-02-2020,60370,
12-02-2020,48076,
11-02-2020,44803,	
10-02-2020,42763,
09-02-2020,40151,
08-02-2020,37121,
07-02-2020,34392,
06-02-2020,30818,
05-02-2020,27636,
04-02-2020,23892,
03-02-2020,19881,
02-02-2020,16787,
01-02-2020,12038,
31-01-2020,9925,
30-01-2020,8235,
29-01-2020,6165,
28-01-2020,5578,
27-01-2020,2927,
26-01-2020,2118,
25-01-2020,1438,
24-01-2020,941,
23-01-2020,654,
22-01-2020,555,
21-01-2020,440,
20-01-2020,291,
19-01-2020,198,
18-01-2020,121,
17-01-2020,65,
16-01-2020,47,
15-01-2020,42,
14-01-2020,42,
13-01-2020,42,
12-01-2020,41,
11-01-2020,41,				
10-01-2020,41,
